📋 BROADCAST REPORT
==================================================

✅ SUCCESSFULLY SENT: 4
--------------------------------------------------
SUCCESS | USER | 6646786564 | ⏤͟͟͞͞𝗖𝘆𝗯𝗲𝗿 𝗜𝗻𝘃𝗲𝘀𝘁𝗶𝗴𝗮𝘁𝗼𝗿
FAILED | USER | 5519676720 | Error: Could not find the input entity for PeerUser(user_id=5519676720) (PeerUser). Please read https://docs.telethon.dev/en/stable/concepts/entities.html to find out more details.
FAILED | USER | 5536437209 | Error: Could not find the input entity for PeerUser(user_id=5536437209) (PeerUser). Please read https://docs.telethon.dev/en/stable/concepts/entities.html to find out more details.
FAILED | USER | 5539754191 | Error: Could not find the input entity for PeerUser(user_id=5539754191) (PeerUser). Please read https://docs.telethon.dev/en/stable/concepts/entities.html to find out more details.
FAILED | USER | 5547651618 | Error: Could not find the input entity for PeerUser(user_id=5547651618) (PeerUser). Please read https://docs.telethon.dev/en/stable/concepts/entities.html to find out more details.
FAILED | USER | 5554954592 | Error: Could not find the input entity for PeerUser(user_id=5554954592) (PeerUser). Please read https://docs.telethon.dev/en/stable/concepts/entities.html to find out more details.
FAILED | USER | 5575984448 | Error: Could not find the input entity for PeerUser(user_id=5575984448) (PeerUser). Please read https://docs.telethon.dev/en/stable/concepts/entities.html to find out more details.
FAILED | USER | 5632318598 | Error: Could not find the input entity for PeerUser(user_id=5632318598) (PeerUser). Please read https://docs.telethon.dev/en/stable/concepts/entities.html to find out more details.
FAILED | USER | 5643095075 | Error: Could not find the input entity for PeerUser(user_id=5643095075) (PeerUser). Please read https://docs.telethon.dev/en/stable/concepts/entities.html to find out more details.
FAILED | USER | 5654640390 | Error: Could not find the input entity for PeerUser(user_id=5654640390) (PeerUser). Please read https://docs.telethon.dev/en/stable/concepts/entities.html to find out more details.
FAILED | USER | 5656841293 | Error: Could not find the input entity for PeerUser(user_id=5656841293) (PeerUser). Please read https://docs.telethon.dev/en/stable/concepts/entities.html to find out more details.
FAILED | USER | 5700235674 | Error: Could not find the input entity for PeerUser(user_id=5700235674) (PeerUser). Please read https://docs.telethon.dev/en/stable/concepts/entities.html to find out more details.
FAILED | USER | 5715701037 | Error: Could not find the input entity for PeerUser(user_id=5715701037) (PeerUser). Please read https://docs.telethon.dev/en/stable/concepts/entities.html to find out more details.
FAILED | USER | 5724988577 | Error: An invalid Peer was used. Make sure to pass the right peer type and that the value is valid (for instance, bots cannot start conversations) (caused by SendMessageRequest)
FAILED | USER | 5742488269 | Error: Could not find the input entity for PeerUser(user_id=5742488269) (PeerUser). Please read https://docs.telethon.dev/en/stable/concepts/entities.html to find out more details.
FAILED | USER | 5826371894 | Error: Could not find the input entity for PeerUser(user_id=5826371894) (PeerUser). Please read https://docs.telethon.dev/en/stable/concepts/entities.html to find out more details.
FAILED | USER | 5831561425 | Error: Could not find the input entity for PeerUser(user_id=5831561425) (PeerUser). Please read https://docs.telethon.dev/en/stable/concepts/entities.html to find out more details.
FAILED | USER | 5838965544 | Error: Could not find the input entity for PeerUser(user_id=5838965544) (PeerUser). Please read https://docs.telethon.dev/en/stable/concepts/entities.html to find out more details.
FAILED | USER | 5843416518 | Error: Could not find the input entity for PeerUser(user_id=5843416518) (PeerUser). Please read https://docs.telethon.dev/en/stable/concepts/entities.html to find out more details.
FAILED | USER | 5887626255 | Error: Could not find the input entity for PeerUser(user_id=5887626255) (PeerUser). Please read https://docs.telethon.dev/en/stable/concepts/entities.html to find out more details.
FAILED | USER | 5928316576 | Error: Could not find the input entity for PeerUser(user_id=5928316576) (PeerUser). Please read https://docs.telethon.dev/en/stable/concepts/entities.html to find out more details.
FAILED | USER | 5935452677 | Error: Could not find the input entity for PeerUser(user_id=5935452677) (PeerUser). Please read https://docs.telethon.dev/en/stable/concepts/entities.html to find out more details.
FAILED | USER | 5942010709 | Error: Could not find the input entity for PeerUser(user_id=5942010709) (PeerUser). Please read https://docs.telethon.dev/en/stable/concepts/entities.html to find out more details.
FAILED | USER | 5944768774 | Error: Could not find the input entity for PeerUser(user_id=5944768774) (PeerUser). Please read https://docs.telethon.dev/en/stable/concepts/entities.html to find out more details.
FAILED | USER | 5956737156 | Error: Could not find the input entity for PeerUser(user_id=5956737156) (PeerUser). Please read https://docs.telethon.dev/en/stable/concepts/entities.html to find out more details.
FAILED | USER | 5998139371 | Error: Could not find the input entity for PeerUser(user_id=5998139371) (PeerUser). Please read https://docs.telethon.dev/en/stable/concepts/entities.html to find out more details.
FAILED | USER | 5999685581 | Error: Could not find the input entity for PeerUser(user_id=5999685581) (PeerUser). Please read https://docs.telethon.dev/en/stable/concepts/entities.html to find out more details.
FAILED | USER | 6006830281 | Error: Could not find the input entity for PeerUser(user_id=6006830281) (PeerUser). Please read https://docs.telethon.dev/en/stable/concepts/entities.html to find out more details.
FAILED | USER | 6015278993 | Error: Could not find the input entity for PeerUser(user_id=6015278993) (PeerUser). Please read https://docs.telethon.dev/en/stable/concepts/entities.html to find out more details.
FAILED | USER | 6041259015 | Error: Could not find the input entity for PeerUser(user_id=6041259015) (PeerUser). Please read https://docs.telethon.dev/en/stable/concepts/entities.html to find out more details.
FAILED | USER | 6050525179 | Error: Could not find the input entity for PeerUser(user_id=6050525179) (PeerUser). Please read https://docs.telethon.dev/en/stable/concepts/entities.html to find out more details.
FAILED | USER | 6079662033 | Error: Could not find the input entity for PeerUser(user_id=6079662033) (PeerUser). Please read https://docs.telethon.dev/en/stable/concepts/entities.html to find out more details.
FAILED | USER | 6082883424 | Error: Could not find the input entity for PeerUser(user_id=6082883424) (PeerUser). Please read https://docs.telethon.dev/en/stable/concepts/entities.html to find out more details.
FAILED | USER | 6103078239 | Error: Could not find the input entity for PeerUser(user_id=6103078239) (PeerUser). Please read https://docs.telethon.dev/en/stable/concepts/entities.html to find out more details.
FAILED | USER | 6108968969 | Error: Could not find the input entity for PeerUser(user_id=6108968969) (PeerUser). Please read https://docs.telethon.dev/en/stable/concepts/entities.html to find out more details.
FAILED | USER | 6142662801 | Error: Could not find the input entity for PeerUser(user_id=6142662801) (PeerUser). Please read https://docs.telethon.dev/en/stable/concepts/entities.html to find out more details.
FAILED | USER | 6207773885 | Error: Could not find the input entity for PeerUser(user_id=6207773885) (PeerUser). Please read https://docs.telethon.dev/en/stable/concepts/entities.html to find out more details.
FAILED | USER | 6232166831 | Error: Could not find the input entity for PeerUser(user_id=6232166831) (PeerUser). Please read https://docs.telethon.dev/en/stable/concepts/entities.html to find out more details.
FAILED | USER | 6250990200 | Error: Could not find the input entity for PeerUser(user_id=6250990200) (PeerUser). Please read https://docs.telethon.dev/en/stable/concepts/entities.html to find out more details.
FAILED | USER | 6268733417 | Error: Could not find the input entity for PeerUser(user_id=6268733417) (PeerUser). Please read https://docs.telethon.dev/en/stable/concepts/entities.html to find out more details.
FAILED | USER | 6286724764 | Error: Could not find the input entity for PeerUser(user_id=6286724764) (PeerUser). Please read https://docs.telethon.dev/en/stable/concepts/entities.html to find out more details.
FAILED | USER | 6324705417 | Error: Could not find the input entity for PeerUser(user_id=6324705417) (PeerUser). Please read https://docs.telethon.dev/en/stable/concepts/entities.html to find out more details.
FAILED | USER | 6341820282 | Error: Could not find the input entity for PeerUser(user_id=6341820282) (PeerUser). Please read https://docs.telethon.dev/en/stable/concepts/entities.html to find out more details.
FAILED | USER | 6363717342 | Error: Could not find the input entity for PeerUser(user_id=6363717342) (PeerUser). Please read https://docs.telethon.dev/en/stable/concepts/entities.html to find out more details.
FAILED | USER | 6366194435 | Error: Could not find the input entity for PeerUser(user_id=6366194435) (PeerUser). Please read https://docs.telethon.dev/en/stable/concepts/entities.html to find out more details.
FAILED | USER | 6371951558 | Error: Could not find the input entity for PeerUser(user_id=6371951558) (PeerUser). Please read https://docs.telethon.dev/en/stable/concepts/entities.html to find out more details.
FAILED | USER | 6378764379 | Error: Could not find the input entity for PeerUser(user_id=6378764379) (PeerUser). Please read https://docs.telethon.dev/en/stable/concepts/entities.html to find out more details.
FAILED | USER | 6430466469 | Error: Could not find the input entity for PeerUser(user_id=6430466469) (PeerUser). Please read https://docs.telethon.dev/en/stable/concepts/entities.html to find out more details.
FAILED | USER | 6505704522 | Error: Could not find the input entity for PeerUser(user_id=6505704522) (PeerUser). Please read https://docs.telethon.dev/en/stable/concepts/entities.html to find out more details.
FAILED | USER | 6584207243 | Error: Could not find the input entity for PeerUser(user_id=6584207243) (PeerUser). Please read https://docs.telethon.dev/en/stable/concepts/entities.html to find out more details.
FAILED | USER | 6585697038 | Error: Could not find the input entity for PeerUser(user_id=6585697038) (PeerUser). Please read https://docs.telethon.dev/en/stable/concepts/entities.html to find out more details.
FAILED | USER | 6592918696 | Error: Could not find the input entity for PeerUser(user_id=6592918696) (PeerUser). Please read https://docs.telethon.dev/en/stable/concepts/entities.html to find out more details.
FAILED | USER | 6610625308 | Error: Could not find the input entity for PeerUser(user_id=6610625308) (PeerUser). Please read https://docs.telethon.dev/en/stable/concepts/entities.html to find out more details.
FAILED | USER | 6645161858 | Error: Could not find the input entity for PeerUser(user_id=6645161858) (PeerUser). Please read https://docs.telethon.dev/en/stable/concepts/entities.html to find out more details.
FAILED | USER | 6647147587 | Error: Could not find the input entity for PeerUser(user_id=6647147587) (PeerUser). Please read https://docs.telethon.dev/en/stable/concepts/entities.html to find out more details.
FAILED | USER | 6659127062 | Error: Could not find the input entity for PeerUser(user_id=6659127062) (PeerUser). Please read https://docs.telethon.dev/en/stable/concepts/entities.html to find out more details.
FAILED | USER | 6679524074 | Error: Could not find the input entity for PeerUser(user_id=6679524074) (PeerUser). Please read https://docs.telethon.dev/en/stable/concepts/entities.html to find out more details.
FAILED | USER | 6695382989 | Error: Could not find the input entity for PeerUser(user_id=6695382989) (PeerUser). Please read https://docs.telethon.dev/en/stable/concepts/entities.html to find out more details.
FAILED | USER | 6731370055 | Error: Could not find the input entity for PeerUser(user_id=6731370055) (PeerUser). Please read https://docs.telethon.dev/en/stable/concepts/entities.html to find out more details.
FAILED | USER | 6744408786 | Error: Could not find the input entity for PeerUser(user_id=6744408786) (PeerUser). Please read https://docs.telethon.dev/en/stable/concepts/entities.html to find out more details.
FAILED | USER | 6750466356 | Error: Could not find the input entity for PeerUser(user_id=6750466356) (PeerUser). Please read https://docs.telethon.dev/en/stable/concepts/entities.html to find out more details.
FAILED | USER | 6764965326 | Error: Could not find the input entity for PeerUser(user_id=6764965326) (PeerUser). Please read https://docs.telethon.dev/en/stable/concepts/entities.html to find out more details.
FAILED | USER | 6775748231 | Error: Could not find the input entity for PeerUser(user_id=6775748231) (PeerUser). Please read https://docs.telethon.dev/en/stable/concepts/entities.html to find out more details.
FAILED | USER | 6803086814 | Error: Could not find the input entity for PeerUser(user_id=6803086814) (PeerUser). Please read https://docs.telethon.dev/en/stable/concepts/entities.html to find out more details.
FAILED | USER | 6813743764 | Error: Could not find the input entity for PeerUser(user_id=6813743764) (PeerUser). Please read https://docs.telethon.dev/en/stable/concepts/entities.html to find out more details.
FAILED | USER | 6820913319 | Error: Could not find the input entity for PeerUser(user_id=6820913319) (PeerUser). Please read https://docs.telethon.dev/en/stable/concepts/entities.html to find out more details.
FAILED | USER | 6831272320 | Error: Could not find the input entity for PeerUser(user_id=6831272320) (PeerUser). Please read https://docs.telethon.dev/en/stable/concepts/entities.html to find out more details.
FAILED | USER | 6837063210 | Error: Could not find the input entity for PeerUser(user_id=6837063210) (PeerUser). Please read https://docs.telethon.dev/en/stable/concepts/entities.html to find out more details.
FAILED | USER | 6850022377 | Error: Could not find the input entity for PeerUser(user_id=6850022377) (PeerUser). Please read https://docs.telethon.dev/en/stable/concepts/entities.html to find out more details.
FAILED | USER | 6867766524 | Error: Could not find the input entity for PeerUser(user_id=6867766524) (PeerUser). Please read https://docs.telethon.dev/en/stable/concepts/entities.html to find out more details.
FAILED | USER | 6875270610 | Error: Could not find the input entity for PeerUser(user_id=6875270610) (PeerUser). Please read https://docs.telethon.dev/en/stable/concepts/entities.html to find out more details.
FAILED | USER | 6894984629 | Error: Could not find the input entity for PeerUser(user_id=6894984629) (PeerUser). Please read https://docs.telethon.dev/en/stable/concepts/entities.html to find out more details.
FAILED | USER | 6897344346 | Error: Could not find the input entity for PeerUser(user_id=6897344346) (PeerUser). Please read https://docs.telethon.dev/en/stable/concepts/entities.html to find out more details.
FAILED | USER | 6964689445 | Error: Could not find the input entity for PeerUser(user_id=6964689445) (PeerUser). Please read https://docs.telethon.dev/en/stable/concepts/entities.html to find out more details.
FAILED | USER | 6964903850 | Error: Could not find the input entity for PeerUser(user_id=6964903850) (PeerUser). Please read https://docs.telethon.dev/en/stable/concepts/entities.html to find out more details.
FAILED | USER | 6968357995 | Error: Could not find the input entity for PeerUser(user_id=6968357995) (PeerUser). Please read https://docs.telethon.dev/en/stable/concepts/entities.html to find out more details.
FAILED | USER | 6968951607 | Error: Could not find the input entity for PeerUser(user_id=6968951607) (PeerUser). Please read https://docs.telethon.dev/en/stable/concepts/entities.html to find out more details.
FAILED | USER | 7020130342 | Error: Could not find the input entity for PeerUser(user_id=7020130342) (PeerUser). Please read https://docs.telethon.dev/en/stable/concepts/entities.html to find out more details.
FAILED | USER | 7035709797 | Error: Could not find the input entity for PeerUser(user_id=7035709797) (PeerUser). Please read https://docs.telethon.dev/en/stable/concepts/entities.html to find out more details.
FAILED | USER | 7062593662 | Error: Could not find the input entity for PeerUser(user_id=7062593662) (PeerUser). Please read https://docs.telethon.dev/en/stable/concepts/entities.html to find out more details.
FAILED | USER | 7092026907 | Error: Could not find the input entity for PeerUser(user_id=7092026907) (PeerUser). Please read https://docs.telethon.dev/en/stable/concepts/entities.html to find out more details.
FAILED | USER | 7123063128 | Error: Could not find the input entity for PeerUser(user_id=7123063128) (PeerUser). Please read https://docs.telethon.dev/en/stable/concepts/entities.html to find out more details.
FAILED | USER | 7139757137 | Error: Could not find the input entity for PeerUser(user_id=7139757137) (PeerUser). Please read https://docs.telethon.dev/en/stable/concepts/entities.html to find out more details.
